index,slot,label,category,status,coverage_group,board_screenshot,swift_screenshot,purpose,primary_actions,states,required_data,coverage_notes
"1","inbox","Inbox · approval queue","Core approvals","partial","partial-or-route-gap","board-screenshots/01-inbox-approval-queue.jpg","swift-screenshots/tab-inbox.png","Let the user review pending agent permission requests and decide whether work can continue.","Approve or deny a request.; Open more detail about the requested command or file change.; Edit the requested command or input before running it.; Create a scoped allow rule when the request should not ask again.","Pending approvals; No pending approvals; Disconnected bridge; Policy warning or high-risk request","Agent name; Host and working directory; Requested tool or command; Risk level; Time waiting; Policy outcome","Swift root exists and is populated; board is newer target composition."
"2","sheet","Decision sheet · all 4 actions","Core approvals","partial","partial-or-route-gap","board-screenshots/02-decision-sheet-all-4-actions.jpg","","Present the full decision surface for one approval request.","Approve the request.; Deny the request.; Edit and run a modified request.; Open allow-always scope configuration.","Normal request; High-risk request; Blocked by policy; Submitting decision","Request summary; Exact command/input/path; Risk reason; Policy rule that applies","Decision mechanics exist; this audit did not capture a stable isolated sheet route."
"3","critical","Critical · Face ID gate","Trust and safety","partial","partial-or-route-gap","board-screenshots/03-critical-face-id-gate.jpg","","Require local authentication before approving an irreversible or broad-impact request.","Authenticate locally.; Cancel and return to the approval.; Review why the request is critical.","Authentication required; Authentication failed or canceled; Simulator/device without biometrics","Critical risk reason; Request details; Authentication result","Biometric gate exists and simulator degrades gracefully; no captured Face ID prompt surface."
"4","editrun","Decision · edit & run (3rd action)","Core approvals","partial","partial-or-route-gap","board-screenshots/04-decision-edit-run-3rd-action.jpg","swift-screenshots/tab-inbox.png","Allow the user to safely modify an agent request before execution.","Edit the command or input.; Run the edited version.; Cancel without sending a decision.","Valid edit; Invalid or empty edit; Submitting edited decision","Original request; Edited request; Host/workspace context","Action is represented in the approval card; target board shows a dedicated edit sheet."
"5","allowalways","Decision · allow always → rule written","Policy and governance","partial","partial-or-route-gap","board-screenshots/05-decision-allow-always-rule-written.jpg","","Confirm that an approval has been converted into a reusable scoped policy rule.","Review the generated rule.; Undo or revoke the rule if needed.; Return to the approval queue.","Rule written; Rule write failed; Rule pending reload","Tool/action; Path or host scope; Policy effect; Expiration or revocation hint","Scope sheet exists, but no stable automated screenshot was captured."
"6","firstrun","Inbox · first-run + demo","Onboarding and first run","partial","partial-or-route-gap","board-screenshots/06-inbox-first-run-demo.jpg","swift-screenshots/gallery-onboarding.png","Explain the first useful approval loop and give the user a safe demo path.","Start the first run or demo.; Connect a host if required.; Skip to the inbox if setup is already complete.","No host connected; Demo available; First approval available","Setup progress; Demo task; Next required action","Swift onboarding exists; board combines first run and demo approval in inbox."
"7","empty","Inbox zero · returning user","Core approvals","partial","partial-or-route-gap","board-screenshots/07-inbox-zero-returning-user.jpg","swift-screenshots/gallery-states.jpg","Show that there are no pending decisions while still communicating system readiness.","Start a task.; Open fleet or activity for context.; Reconnect if the bridge is offline.","All caught up; Bridge offline; Waiting for first run","Connection state; Recent activity summary; Suggested next action","State gallery covers empty/loading/error patterns; no real-app empty inbox capture in this pass."
"8","fleet","Fleet · cross-vendor spend","Fleet and providers","partial","partial-or-route-gap","board-screenshots/08-fleet-cross-vendor-spend.jpg","swift-screenshots/tab-fleet.png","Show connected hosts, agents, provider usage, and operational status across the user’s control plane.","Open a host or running agent.; Add or reconnect a host.; Review spend and provider status.; Open quota guard or host health details.","Healthy host; Offline host; Running agent; Provider limit warning","Host name; Agent/runtime; Model/provider; Spend/quota; Relay state; Health state","Fleet root exists; board adds denser spend/privacy treatment."
"9","rundetail","Agent · run detail + stop (NEW)","Run control","partial","partial-or-route-gap","board-screenshots/09-agent-run-detail-stop-new.jpg","","Show the details and controls for an active or recent agent run.","Stop or pause the run.; Open logs, proof, or changed files.; Set a run budget.; Send a follow-up instruction when supported.","Running; Paused; Stopped; Completed; Failed","Goal; Current step; Elapsed time; Cost/budget; Changed files; Proof status","Swift RunDetailView exists but has no direct gallery route captured."
"10","activity","Activity · while you were away","Audit and history","partial","partial-or-route-gap","board-screenshots/10-activity-while-you-were-away.jpg","swift-screenshots/tab-activity.png","Summarize important decisions, runs, and bridge events that happened while the user was away.","Open an event detail.; Filter by host, agent, or risk.; Export or inspect audit evidence when available.","Populated activity; No recent activity; Unable to load audit feed","Event type; Timestamp; Host; Agent; Decision outcome; Audit hash or verification state","Activity tab exists; populated audit data depends on daemon/live state."
